Timestamp,Frame,PalmRoot_X,PalmRoot_Y,PalmRoot_Z,PalmRoot_QX,PalmRoot_QY,PalmRoot_QZ,PalmRoot_QW,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,ThumbTip_QX,ThumbTip_QY,ThumbTip_QZ,ThumbTip_QW,IndexTip_X,IndexTip_Y,IndexTip_Z,IndexTip_QX,IndexTip_QY,IndexTip_QZ,IndexTip_QW,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,MiddleTip_QX,MiddleTip_QY,MiddleTip_QZ,MiddleTip_QW
1756949504106,0,0,-0,0,0,0,0,1,0.121391,0.0172301,-0.00417916,0,0,0,1,0.162184,0.0124683,0.00172939,0,0,0,1,0.172366,0.000181862,0.00397901,0,0,0,1
1756949504139,1,0,-0,0,-0.0537626,-0.100379,0.00664451,0.993474,0.103601,0.0733451,-0.00789705,-0.503039,-0.121858,0.272886,0.810959,0.15752,0.00449152,0.0336235,-0.300912,-0.00843562,-0.0587973,0.951802,0.160073,-0.0386387,0.0439602,-0.00890998,-0.0170828,-0.182622,0.982995
1756949504172,2,0,-0,0,-0.0536805,-0.0997182,0.00657362,0.993545,0.103564,0.0733856,-0.00801166,-0.501834,-0.122769,0.274328,0.811066,0.157578,0.00447751,0.0333188,-0.298625,-0.00541401,-0.0586467,0.952551,0.160135,-0.0386799,0.0436657,-0.0110255,-0.0203858,-0.182831,0.982871
1756949504205,3,0,-0,0,-0.0538492,-0.0992687,0.00655858,0.993581,0.103545,0.0734008,-0.00811558,-0.501522,-0.122144,0.274572,0.81127,0.157637,0.0045055,0.0329321,-0.296527,-0.00118797,-0.0581604,0.95325,0.160166,-0.038684,0.0435531,-0.0113164,-0.0200886,-0.182894,0.982862
1756949504238,4,0,-0,0,-0.0538791,-0.0992607,0.00658186,0.99358,0.103435,0.0735449,-0.00820086,-0.50117,-0.122439,0.27574,0.811046,0.157643,0.00449277,0.0328628,-0.297729,-0.00138318,-0.0579857,0.952886,0.160156,-0.0386692,0.0436418,-0.0102787,-0.0185764,-0.182793,0.982922
1756949504272,5,0,-0,0,-0.053659,-0.0992176,0.0065713,0.993596,0.103451,0.0735147,-0.00825343,-0.501585,-0.122017,0.275582,0.810904,0.15765,0.00449135,0.0328122,-0.297695,-0.00106122,-0.0578035,0.952908,0.160155,-0.038674,0.0436682,-0.00898166,-0.0166439,-0.182656,0.982994
1756949504305,6,0,-0,0,-0.0538594,-0.0989992,0.00657241,0.993607,0.103475,0.0734691,-0.00836709,-0.502116,-0.121312,0.275413,0.810751,0.157673,0.004571,0.0327078,-0.29807,-0.000731316,-0.0571172,0.952834,0.160176,-0.0386732,0.0435756,-0.0103221,-0.0184135,-0.182783,0.982927
1756949504338,7,0,-0,0,-0.0538306,-0.0982188,0.00661444,0.993686,0.103479,0.073447,-0.00851485,-0.501657,-0.121003,0.27591,0.810914,0.157729,0.00457206,0.0324139,-0.299961,-0.000933328,-0.056468,0.952279,0.160242,-0.0386723,0.0433381,-0.00976002,-0.0161661,-0.182727,0.982983
1756949504371,8,0,-0,0,-0.0538116,-0.0978698,0.00659641,0.993722,0.103482,0.0734363,-0.00857955,-0.501574,-0.120716,0.276016,0.810975,0.157752,0.004562,0.0323052,-0.29997,-0.000583658,-0.0563883,0.952282,0.160299,-0.0387032,0.0430085,-0.0103681,-0.0155669,-0.18286,0.982962
1756949504405,9,0,-0,0,-0.0541996,-0.0978786,0.00632427,0.993701,0.103534,0.07335,-0.00865787,-0.502518,-0.119963,0.275424,0.810688,0.157751,0.00446342,0.0323121,-0.301452,-0.0013414,-0.0566948,0.951792,0.160269,-0.0388331,0.0429182,-0.0096255,-0.0123208,-0.183514,0.982892
1756949504438,10,0,-0,0,-0.0540117,-0.097724,0.00640993,0.993726,0.103562,0.0733066,-0.00869091,-0.503118,-0.119043,0.274772,0.810685,0.157762,0.00450194,0.0322624,-0.300161,-0.00048719,-0.0565636,0.952211,0.160311,-0.0388161,0.0427292,-0.00822842,-0.00874822,-0.183295,0.982985
1756949504471,11,0,-0,0,-0.0535042,-0.096848,0.00583932,0.993843,0.103703,0.0731021,-0.0087681,-0.502147,-0.119455,0.27501,0.811151,0.157823,0.00429902,0.0319998,-0.299721,0.000548529,-0.0567832,0.952337,0.160331,-0.0390907,0.0423585,-0.00906204,-0.0096311,-0.18424,0.982793
1756949504504,12,0,-0,0,-0.0534629,-0.095961,0.00554064,0.993933,0.103772,0.0729872,-0.00891308,-0.502047,-0.118425,0.274745,0.811458,0.157881,0.00416439,0.031711,-0.299778,0.00168271,-0.0570032,0.952305,0.160376,-0.0392017,0.042094,-0.0102173,-0.0112718,-0.184596,0.982698
1756949504537,13,0,-0,0,-0.0533136,-0.0951213,0.00530841,0.994023,0.103784,0.072951,-0.00904622,-0.501281,-0.117176,0.274783,0.812078,0.157937,0.00407668,0.0314446,-0.300535,0.00192781,-0.0567988,0.952075,0.160418,-0.0392851,0.0418955,-0.00913853,-0.00885283,-0.184707,0.982711
1756949504571,14,0,-0,0,-0.0532337,-0.094286,0.00502234,0.994108,0.103819,0.0728755,-0.00924476,-0.501673,-0.115996,0.274704,0.812038,0.157993,0.00402006,0.0311926,-0.299665,0.00317278,-0.0565935,0.952359,0.160466,-0.039401,0.0415859,-0.0102834,-0.00996712,-0.185094,0.982616
1756949504604,15,0,-0,0,-0.0532338,-0.0944265,0.00427985,0.994098,0.103933,0.0727142,-0.00922751,-0.501799,-0.115906,0.274173,0.812153,0.157982,0.00380201,0.0313252,-0.300309,0.00179258,-0.0571843,0.952124,0.160391,-0.0396329,0.0416755,-0.00983441,-0.00970535,-0.185743,0.982501
1756949504637,16,0,-0,0,-0.0533377,-0.0943012,0.0040859,0.994105,0.104007,0.0725953,-0.00932914,-0.502651,-0.115783,0.273952,0.811714,0.157972,0.00376078,0.0314996,-0.300831,-0.000428632,-0.0575227,0.95194,0.160382,-0.0396716,0.0417111,-0.0100177,-0.0102356,-0.185817,0.98248
1756949504670,17,0,-0,0,-0.053132,-0.0946242,0.00396509,0.994087,0.104009,0.0726138,-0.00918667,-0.50183,-0.116744,0.274181,0.812027,0.157916,0.00367204,0.0319204,-0.296776,-0.000765348,-0.0593058,0.953106,0.160313,-0.0397961,0.0418285,-0.0116558,-0.0152927,-0.186542,0.98226
1756949504703,18,0,-0,0,-0.0534983,-0.0953928,0.00429964,0.993992,0.103646,0.0731014,-0.00939191,-0.500445,-0.119228,0.278613,0.811004,0.157819,0.00377333,0.0325659,-0.294862,-0.00392714,-0.0605338,0.953614,0.160197,-0.0397719,0.0423111,-0.0103979,-0.0140905,-0.187036,0.982197
1756949504737,19,0,-0,0,-0.0538496,-0.0955555,0.00450607,0.993956,0.102914,0.0740858,-0.00964313,-0.496167,-0.122147,0.285967,0.810622,0.157772,0.00372612,0.0328392,-0.295451,-0.00648766,-0.061701,0.95334,0.160158,-0.0397533,0.0424602,-0.00949607,-0.0127253,-0.187292,0.982175
1756949504770,20,0,-0,0,-0.0529416,-0.0956314,0.00497189,0.993996,0.102417,0.0747274,-0.0098561,-0.493609,-0.129537,0.293784,0.808252,0.15764,0.0036702,0.033774,-0.292215,-0.0130468,-0.0646596,0.954076,0.160195,-0.039644,0.0424402,-0.0081524,-0.0127372,-0.186669,0.982307
1756949504803,21,0,-0,0,-0.0530133,-0.0975838,0.00534413,0.9938,0.100788,0.0766874,-0.0107907,-0.494384,-0.142657,0.311842,0.798745,0.157256,0.00337511,0.0358442,-0.285321,-0.0230998,-0.0718827,0.955454,0.159712,-0.0400268,0.0438842,-0.00840526,-0.0220996,-0.190265,0.981448
1756949504836,22,0,-0,0,-0.0551098,-0.101249,0.00614187,0.993315,0.100251,0.077355,-0.0104336,-0.496064,-0.157373,0.3195,0.791884,0.156768,0.00351079,0.0380801,-0.279843,-0.0318697,-0.0770471,0.956419,0.159129,-0.040079,0.0458443,-0.00988493,-0.0304061,-0.193172,0.980644
1756949504869,23,0,-0,0,-0.0564622,-0.104378,0.00507316,0.992921,0.0990887,0.0785749,-0.0111693,-0.49723,-0.168063,0.333189,0.783253,0.156435,0.00309885,0.0394655,-0.276563,-0.0353833,-0.0813768,0.956889,0.158595,-0.0405732,0.0471359,-0.011636,-0.0368277,-0.196332,0.979776
1756949504902,24,0,-0,0,-0.0579361,-0.107155,0.00375283,0.992546,0.0991604,0.0784593,-0.0108462,-0.500109,-0.175743,0.334907,0.778993,0.156151,0.00278989,0.0406519,-0.276678,-0.0400694,-0.0840463,0.95644,0.158006,-0.0411646,0.0485245,-0.0103526,-0.0384276,-0.199744,0.979039
1756949504935,25,0,-0,0,-0.0590881,-0.108069,0.00351821,0.99238,0.0987977,0.0787258,-0.0118513,-0.500397,-0.172319,0.339358,0.777651,0.156068,0.00286389,0.041005,-0.273193,-0.0387129,-0.0844121,0.957466,0.157872,-0.0411634,0.0489657,-0.0100226,-0.0376931,-0.200012,0.979017
1756949504969,26,0,-0,0,-0.059928,-0.108829,0.00219569,0.99225,0.0995917,0.0774364,-0.013698,-0.507967,-0.15713,0.335269,0.77772,0.156107,0.00267714,0.0408635,-0.269314,-0.032767,-0.0840449,0.958817,0.157684,-0.0415021,0.0492966,-0.0106214,-0.0386591,-0.201183,0.978732
1756949505002,27,0,-0,0,-0.0584507,-0.114702,0.00234186,0.991676,0.100828,0.0753709,-0.0159171,-0.527021,-0.134138,0.324574,0.773898,0.156216,0.00336061,0.0398849,-0.264769,-0.0115268,-0.0752432,0.961303,0.157393,-0.0410585,0.0506826,-0.00432079,-0.0422693,-0.197194,0.979444
1756949505035,28,0,-0,0,-0.0581221,-0.13116,-0.000593613,0.989656,0.104383,0.0701079,-0.0164028,-0.559456,-0.104172,0.29029,0.769357,0.155959,0.00351931,0.0374484,-0.264604,0.0418898,-0.0613883,0.961491,0.15623,-0.0408674,0.0542204,-0.00328932,-0.0508712,-0.192923,0.979889
1756949505068,29,0,-0,0,-0.0594906,-0.142276,-0.00427242,0.988029,0.107033,0.0651481,-0.0179785,-0.59285,-0.0838355,0.267975,0.754791,0.155399,0.00305555,0.0324302,-0.26072,0.113106,-0.0495036,0.957488,0.155607,-0.0409304,0.0554985,0.000225445,-0.046541,-0.189153,0.980844
1756949505101,30,0,-0,0,-0.0512473,-0.159615,-0.00773534,0.985817,0.110115,0.059199,-0.0171982,-0.626588,-0.063768,0.234567,0.740455,0.153677,0.00249568,0.0301265,-0.236373,0.181367,-0.0407814,0.953712,0.15503,-0.0403139,0.056838,0.0231557,-0.0353796,-0.174443,0.983758
1756949505134,31,0,-0,0,-0.0471935,-0.168841,-0.0111624,0.98445,0.111845,0.05553,-0.0163622,-0.638339,-0.0453845,0.210384,0.739081,0.152425,0.00215237,0.0283918,-0.220217,0.224512,-0.0340891,0.948653,0.154539,-0.0406926,0.0570237,0.0338996,-0.0235113,-0.169924,0.984594
1756949505167,32,0,-0,0,-0.048261,-0.181155,-0.0147051,0.982159,0.113949,0.049713,-0.016528,-0.654399,-0.0109979,0.176033,0.735262,0.150618,0.00259401,0.0268803,-0.196956,0.277509,-0.0245714,0.939993,0.153665,-0.0406263,0.0581786,0.0469128,-0.00357461,-0.163953,0.985345
1756949505200,33,0,-0,0,-0.0473907,-0.190186,-0.0176438,0.980445,0.115129,0.0452835,-0.017066,-0.661355,0.0176846,0.152655,0.734171,0.148756,0.00240005,0.0247853,-0.173121,0.328911,-0.0196465,0.928151,0.153307,-0.0398577,0.0587587,0.0559688,0.0121116,-0.153413,0.986502
1756949505233,34,0,-0,0,-0.0445145,-0.202128,-0.0222667,0.978093,0.116429,0.0413018,-0.015471,-0.669455,0.0288361,0.131094,0.730624,0.146898,0.00206555,0.0247556,-0.141869,0.368687,-0.0147583,0.918545,0.1527,-0.0392196,0.0591591,0.070243,0.0318998,-0.140156,0.987119
1756949505267,35,0,-0,0,-0.0445664,-0.211558,-0.0245429,0.976042,0.117526,0.037096,-0.0143097,-0.676822,0.0435686,0.108056,0.726903,0.144987,0.00244473,0.0238704,-0.127136,0.406732,-0.00817973,0.904628,0.152294,-0.0381425,0.0588512,0.0845674,0.0563426,-0.127932,0.986564
1756949505300,36,0,-0,0,-0.0478891,-0.22501,-0.0303866,0.972704,0.118621,0.0337795,-0.0114079,-0.678299,0.0478197,0.0857126,0.728182,0.142429,0.000817278,0.0236144,-0.127597,0.438778,-0.0133442,0.889385,0.151254,-0.0371101,0.0593814,0.0900862,0.0830462,-0.115004,0.985779
1756949505333,37,0,-0,0,-0.0465923,-0.232285,-0.0329447,0.970974,0.119291,0.031308,-0.00937383,-0.681585,0.0493987,0.0706225,0.72667,0.141021,0.000349515,0.0236272,-0.129604,0.455334,-0.0126337,0.880753,0.150757,-0.036408,0.0590886,0.0901349,0.0973699,-0.107371,0.985326
1756949505366,38,0,-0,0,-0.0431117,-0.243251,-0.0344117,0.968393,0.119956,0.0290034,-0.00596938,-0.687737,0.0411504,0.0561277,0.722603,0.13851,-8.825e-05,0.0231288,-0.1358,0.482634,-0.0113956,0.865151,0.15006,-0.0345234,0.0596532,0.0946024,0.113054,-0.0909887,0.984881
1756949505399,39,0,-0,0,-0.0425206,-0.24939,-0.0370065,0.966761,0.120414,0.0270725,-0.00387369,-0.692,0.037724,0.0452101,0.719495,0.136099,-9.06615e-05,0.0213323,-0.1391,0.511621,-0.00495847,0.847864,0.149587,-0.0335665,0.0586438,0.0948005,0.13536,-0.0818471,0.982849
1756949505432,40,0,-0,0,-0.0402238,-0.259067,-0.0392372,0.964223,0.120698,0.0261908,-0.000667284,-0.692892,0.0265346,0.0365743,0.719626,0.133949,7.36723e-05,0.0214575,-0.139654,0.526734,0.00171405,0.838479,0.148689,-0.0322569,0.0593705,0.0932903,0.143031,-0.0703372,0.982798
1756949505466,41,0,-0,0,-0.0395138,-0.263187,-0.0406266,0.963076,0.120957,0.025207,0.00160086,-0.696981,0.0166894,0.0304423,0.716201,0.131679,0.000783988,0.0197051,-0.145215,0.549129,0.0126747,0.822906,0.148456,-0.0300642,0.0565546,0.0959939,0.181021,-0.0540881,0.977286
1756949505499,42,0,-0,0,-0.0407693,-0.266031,-0.0422148,0.962174,0.121171,0.0241428,0.00311085,-0.70541,0.0100497,0.0253143,0.708244,0.130325,0.000980076,0.018923,-0.148772,0.562513,0.0172634,0.813096,0.148127,-0.0292789,0.0564587,0.0889179,0.190625,-0.0488125,0.976407
