Timestamp,Frame,PalmRoot_X,PalmRoot_Y,PalmRoot_Z,PalmRoot_QX,PalmRoot_QY,PalmRoot_QZ,PalmRoot_QW,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,ThumbTip_QX,ThumbTip_QY,ThumbTip_QZ,ThumbTip_QW,IndexTip_X,IndexTip_Y,IndexTip_Z,IndexTip_QX,IndexTip_QY,IndexTip_QZ,IndexTip_QW,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,MiddleTip_QX,MiddleTip_QY,MiddleTip_QZ,MiddleTip_QW
1756950833047,0,0,-0,0,-0.0106524,-0.067842,0.00598806,0.997621,0.0515653,0.0999761,-0.0174535,-0.494084,-0.467988,0.586233,0.43954,0.156864,-0.00751045,0.0321148,-0.347561,-0.0778961,-0.128856,0.925489,0.158048,-0.0494933,0.0364546,-0.0163692,-0.0435751,-0.245179,0.96836
1756950833081,1,0,-0,0,-0.01116,-0.0676907,0.00529537,0.99763,0.0519072,0.100354,-0.0174258,-0.491671,-0.464378,0.585608,0.446844,0.156855,-0.00769148,0.0321339,-0.348209,-0.0799448,-0.128767,0.925082,0.157967,-0.0497168,0.0364819,-0.0198046,-0.0420894,-0.246419,0.968046
1756950833114,2,0,-0,0,-0.0112454,-0.0677903,0.00513479,0.997623,0.0515121,0.100283,-0.0171443,-0.493024,-0.468705,0.585005,0.441614,0.156841,-0.00770641,0.0322368,-0.34654,-0.0797191,-0.129315,0.925653,0.157979,-0.0497239,0.0364407,-0.0181268,-0.0393506,-0.246191,0.968253
1756950833147,3,0,-0,0,-0.0116228,-0.0676123,0.00452919,0.997634,0.0513223,0.0997679,-0.0172703,-0.494603,-0.471139,0.586016,0.435875,0.156841,-0.00786863,0.0322104,-0.346656,-0.0776734,-0.130485,0.925619,0.157897,-0.0499593,0.036412,-0.0232225,-0.0391512,-0.24768,0.967772
1756950833180,4,0,-0,0,-0.0125223,-0.0666647,0.00357232,0.997691,0.0514203,0.0997242,-0.0175282,-0.494393,-0.469339,0.586503,0.437444,0.156872,-0.00818609,0.0319348,-0.347923,-0.0763687,-0.131456,0.925119,0.157763,-0.0504097,0.0361899,-0.030631,-0.0403769,-0.250449,0.966804
1756950833213,5,0,-0,0,-0.0128905,-0.066323,0.0030326,0.99771,0.0517078,0.0998545,-0.0178083,-0.494673,-0.465841,0.586254,0.441149,0.156887,-0.0083561,0.0318029,-0.348341,-0.0756127,-0.13185,0.924965,0.157707,-0.0505933,0.0361526,-0.0312159,-0.040409,-0.251215,0.966584
1756950833247,6,0,-0,0,-0.0135886,-0.0654926,0.00215033,0.997758,0.0518845,0.0996416,-0.0180867,-0.495552,-0.464767,0.586656,0.440754,0.156915,-0.00864989,0.0315446,-0.350573,-0.0753307,-0.132245,0.924087,0.157671,-0.0508376,0.0359732,-0.0311074,-0.039044,-0.251998,0.96644
1756950833280,7,0,-0,0,-0.0142614,-0.0648248,0.00192519,0.997793,0.0519411,0.0996913,-0.0182642,-0.493881,-0.462769,0.587501,0.443564,0.156973,-0.00868217,0.0312531,-0.348528,-0.0721043,-0.132684,0.925052,0.157782,-0.0507076,0.0358445,-0.0236551,-0.0390232,-0.250219,0.967112
1756950833313,8,0,-0,0,-0.0144629,-0.0645066,0.00192357,0.997811,0.0516958,0.0991213,-0.0184643,-0.497117,-0.466094,0.588402,0.435223,0.156999,-0.00867186,0.0311261,-0.347564,-0.0726029,-0.132145,0.925455,0.157764,-0.0507822,0.0357267,-0.0291723,-0.0397312,-0.25122,0.966674
1756950833346,9,0,-0,0,-0.014398,-0.0637468,0.00206165,0.99786,0.0517481,0.0992492,-0.0184827,-0.495993,-0.465149,0.588483,0.437372,0.157055,-0.00862042,0.0308692,-0.346363,-0.0728193,-0.131314,0.926004,0.157788,-0.0508221,0.0354828,-0.0331965,-0.0381683,-0.252022,0.966398
1756950833379,10,0,-0,0,-0.0139427,-0.0629197,0.00281774,0.997917,0.0515951,0.0992645,-0.0185258,-0.495631,-0.465573,0.588996,0.436659,0.157117,-0.008404,0.0306108,-0.346024,-0.0723279,-0.130391,0.926301,0.157917,-0.0506229,0.0351751,-0.0329867,-0.0371997,-0.251381,0.96661
1756950833413,11,0,-0,0,-0.0139329,-0.0626652,0.00295422,0.997933,0.0515843,0.0993109,-0.0186009,-0.495289,-0.464809,0.589214,0.437516,0.157127,-0.0083902,0.0305362,-0.347399,-0.0731235,-0.129974,0.925778,0.15797,-0.0505346,0.035113,-0.0276822,-0.0358581,-0.250526,0.967048
1756950833446,12,0,-0,0,-0.0136796,-0.0620271,0.00239177,0.997978,0.0517068,0.0992061,-0.018685,-0.496394,-0.464585,0.588901,0.436978,0.157158,-0.00856811,0.0303446,-0.347221,-0.0724055,-0.130228,0.92587,0.157955,-0.0507293,0.0349142,-0.0238819,-0.0362484,-0.250687,0.967095
1756950833479,13,0,-0,0,-0.0118717,-0.0617848,0.00461333,0.998008,0.0514863,0.100076,-0.0182285,-0.489396,-0.462152,0.589177,0.446951,0.157218,-0.00795002,0.0301826,-0.34695,-0.0713592,-0.128345,0.926315,0.158209,-0.0501152,0.0346397,-0.0220721,-0.0360344,-0.248483,0.967714
