Timestamp,Frame,PalmRoot_X,PalmRoot_Y,PalmRoot_Z,PalmRoot_QX,PalmRoot_QY,PalmRoot_QZ,PalmRoot_QW,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,ThumbTip_QX,ThumbTip_QY,ThumbTip_QZ,ThumbTip_QW,IndexTip_X,IndexTip_Y,IndexTip_Z,IndexTip_QX,IndexTip_QY,IndexTip_QZ,IndexTip_QW,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,MiddleTip_QX,MiddleTip_QY,MiddleTip_QZ,MiddleTip_QW
1756950769684,0,0,-0,0,-0.0580782,-0.0665336,-0.103361,0.990715,0.0814948,0.0761829,-0.028092,0.623244,0.365061,-0.540355,-0.43167,0.152117,-0.0409728,0.0267791,-0.292482,0.057239,-0.240221,0.923838,0.144067,-0.0816014,0.0316918,0.0129873,0.0655193,-0.349896,0.934406
1756950769717,1,0,-0,0,-0.0581447,-0.0667401,-0.103501,0.990683,0.0813792,0.0759676,-0.0282175,0.625258,0.365412,-0.541232,-0.427317,0.152102,-0.0409928,0.0268543,-0.292578,0.0570491,-0.240303,0.923796,0.144034,-0.0816227,0.031851,0.0149413,0.0669674,-0.349787,0.934314
1756950769751,2,0,-0,0,-0.0578644,-0.0666386,-0.103635,0.990692,0.0812574,0.0757017,-0.02823,0.626809,0.367213,-0.542936,-0.421281,0.15209,-0.0410473,0.026853,-0.295523,0.054051,-0.239438,0.923262,0.144095,-0.0815888,0.0317663,0.0144466,0.0673109,-0.349245,0.934498
1756950769784,3,0,-0,0,-0.0576642,-0.0664163,-0.103257,0.990758,0.0813437,0.0761539,-0.0281649,0.623026,0.365026,-0.541067,-0.431069,0.152118,-0.0409712,0.0267777,-0.290951,0.0557807,-0.240062,0.924447,0.144192,-0.081494,0.0313872,0.0172483,0.0718821,-0.348569,0.934362
1756950769817,4,0,-0,0,-0.058161,-0.0664093,-0.103203,0.990736,0.0812151,0.0763405,-0.0280175,0.621845,0.366733,-0.541491,-0.43086,0.152101,-0.0409806,0.0268186,-0.291456,0.0556875,-0.240447,0.924199,0.144224,-0.081449,0.0312441,0.0168605,0.0731776,-0.348443,0.93432
1756950769850,5,0,-0,0,-0.0582815,-0.0663211,-0.103176,0.990737,0.0812272,0.0764686,-0.0279812,0.620223,0.366427,-0.541324,-0.433651,0.152114,-0.0409364,0.0269023,-0.292591,0.054126,-0.240128,0.924015,0.144211,-0.0814849,0.0309775,0.0158292,0.0735941,-0.348831,0.93416
1756950769884,6,0,-0,0,-0.0576522,-0.0663715,-0.103306,0.990756,0.0810466,0.0762457,-0.0278836,0.623276,0.369063,-0.542258,-0.425726,0.152289,-0.0405945,0.0269637,-0.288424,0.0522959,-0.237231,0.926171,0.144219,-0.0815086,0.0309479,0.0145623,0.0715594,-0.348726,0.934373
1756950769917,7,0,-0,0,-0.0576073,-0.0664128,-0.103445,0.990742,0.0811352,0.0762036,-0.027875,0.623641,0.368896,-0.542014,-0.425684,0.15237,-0.0404389,0.026994,-0.286051,0.0525441,-0.236163,0.927168,0.144085,-0.0816596,0.0311673,0.0128208,0.0678582,-0.349945,0.934221
1756950769950,8,0,-0,0,-0.057978,-0.0667176,-0.103732,0.99067,0.0812706,0.0761772,-0.0278518,0.623087,0.368182,-0.541547,-0.427683,0.152317,-0.0405361,0.0271166,-0.288255,0.0531274,-0.236907,0.92626,0.143993,-0.0817445,0.0313703,0.0141477,0.0688434,-0.350328,0.933985
1756950769983,9,0,-0,0,-0.0580282,-0.0667416,-0.106959,0.990322,0.0818658,0.0756465,-0.0278511,0.62415,0.365405,-0.539663,-0.430904,0.151987,-0.0416314,0.0271848,-0.292361,0.055544,-0.241007,0.923772,0.143458,-0.0826709,0.0314245,0.0163802,0.0704013,-0.353073,0.932799
1756950770016,10,0,-0,0,-0.0577748,-0.0666257,-0.106996,0.990341,0.081871,0.0755361,-0.0279117,0.625493,0.365315,-0.539701,-0.428964,0.151994,-0.0416572,0.0270804,-0.288979,0.0558661,-0.240988,0.92482,0.143498,-0.0826552,0.0312895,0.0156994,0.0708675,-0.352837,0.932864
1756950770049,11,0,-0,0,-0.0580248,-0.0666382,-0.10963,0.990037,0.0822694,0.0750974,-0.0278953,0.625831,0.363646,-0.538781,-0.431068,0.151695,-0.0425915,0.027144,-0.289873,0.0546551,-0.243934,0.923842,0.143065,-0.083389,0.0313808,0.0169643,0.0707406,-0.355019,0.932025
1756950770083,12,0,-0,0,-0.0578487,-0.0668338,-0.11126,0.989853,0.0825723,0.0748604,-0.0277644,0.627224,0.363067,-0.537277,-0.43142,0.151428,-0.0432821,0.0273567,-0.291656,0.0534663,-0.247042,0.922525,0.142776,-0.0838574,0.0315206,0.0172445,0.0697043,-0.356469,0.931545
1756950770116,13,0,-0,0,-0.057226,-0.0669903,-0.111172,0.989888,0.0825101,0.0749667,-0.0276117,0.626701,0.363651,-0.536876,-0.432174,0.151414,-0.0433003,0.0273719,-0.293157,0.0525102,-0.24676,0.922178,0.142782,-0.0838525,0.0315396,0.0189501,0.0712374,-0.356212,0.931494
1756950770149,14,0,-0,0,-0.05614,-0.0668924,-0.113963,0.989639,0.0829809,0.0745517,-0.0274281,0.627283,0.36225,-0.535041,-0.434753,0.151165,-0.044233,0.0271158,-0.291045,0.0573442,-0.249749,0.921752,0.142289,-0.084739,0.0312976,0.0181896,0.069826,-0.3591,0.930505
1756950770182,15,0,-0,0,-0.0540717,-0.0669264,-0.113292,0.989829,0.0829034,0.0747419,-0.0272203,0.626317,0.363081,-0.534782,-0.435772,0.151238,-0.0440755,0.0269722,-0.28947,0.0558297,-0.248167,0.922768,0.14243,-0.0846155,0.03099,0.0201955,0.0705737,-0.358053,0.930811
1756950770215,16,0,-0,0,-0.0511539,-0.0663645,-0.113488,0.99,0.0829109,0.0747586,-0.0268762,0.626761,0.364934,-0.534177,-0.434323,0.151303,-0.0441366,0.0266382,-0.285751,0.055325,-0.246809,0.924321,0.142468,-0.0847657,0.0305058,0.0227695,0.0712429,-0.357589,0.930878
1756950770248,17,0,-0,0,-0.0483103,-0.065998,-0.115326,0.989954,0.0832138,0.0747872,-0.0263614,0.623333,0.364721,-0.532007,-0.442018,0.151217,-0.0446594,0.0264513,-0.281352,0.0561049,-0.247448,0.925451,0.142196,-0.0853919,0.0301444,0.025514,0.0711117,-0.358744,0.930371
1756950770282,18,0,-0,0,-0.0458267,-0.0655286,-0.118002,0.989789,0.0836268,0.0749156,-0.0258046,0.619563,0.363618,-0.528409,-0.452456,0.15096,-0.0456122,0.0262634,-0.280739,0.0575623,-0.250171,0.924818,0.141686,-0.0863545,0.0297183,0.0292703,0.071878,-0.361491,0.929141
1756950770315,19,0,-0,0,-0.0440011,-0.0652363,-0.117357,0.989968,0.0834436,0.0752727,-0.0254048,0.618668,0.366273,-0.527822,-0.452235,0.15098,-0.0455868,0.0260403,-0.281296,0.0574193,-0.249769,0.924767,0.141769,-0.0863099,0.0293175,0.0272107,0.0692163,-0.361566,0.929377
1756950770348,20,0,-0,0,-0.0425295,-0.0646205,-0.118251,0.989966,0.0835035,0.075203,-0.0252402,0.618989,0.366906,-0.527233,-0.451987,0.150934,-0.0459055,0.0257454,-0.279032,0.0607826,-0.250833,0.924951,0.141667,-0.0866123,0.0289948,0.0314414,0.0734828,-0.361771,0.928837
1756950770381,21,0,-0,0,-0.0429806,-0.0644967,-0.118469,0.989928,0.0835491,0.0752328,-0.0253062,0.617742,0.366046,-0.527226,-0.454372,0.150935,-0.0459351,0.0256993,-0.275966,0.0625417,-0.2514,0.925598,0.141657,-0.0866385,0.0289276,0.0308864,0.0738654,-0.361864,0.928788
1756950770414,22,0,-0,0,-0.0430425,-0.0641797,-0.122657,0.989436,0.0842035,0.074609,-0.0252105,0.617943,0.363828,-0.525309,-0.458055,0.150535,-0.0472418,0.0256451,-0.275518,0.0638522,-0.255431,0.924535,0.140942,-0.0878248,0.0288877,0.0331696,0.0755518,-0.365418,0.927178
1756950770447,23,0,-0,0,-0.0420389,-0.063801,-0.122685,0.9895,0.0839479,0.0743905,-0.0251643,0.620431,0.366651,-0.527091,-0.450332,0.150592,-0.0472104,0.0254657,-0.274735,0.0644188,-0.254668,0.92494,0.140998,-0.0878391,0.0286111,0.0322026,0.0746654,-0.365195,0.927372
1756950770481,24,0,-0,0,-0.0416017,-0.0632366,-0.122612,0.989564,0.0839004,0.0744835,-0.0251524,0.61949,0.366796,-0.52719,-0.451378,0.150642,-0.0471819,0.0252562,-0.272338,0.0658685,-0.254551,0.925578,0.141042,-0.0878447,0.0283633,0.0324993,0.0753639,-0.365101,0.927341
1756950770514,25,0,-0,0,-0.0414621,-0.062966,-0.122674,0.989579,0.084243,0.0741787,-0.0254512,0.621364,0.365396,-0.527916,-0.449113,0.150676,-0.047165,0.025132,-0.271241,0.0652066,-0.253838,0.926144,0.14107,-0.0878458,0.0282731,0.0324807,0.0756843,-0.364938,0.927382
