timestamp_ms,csv_idx,body_name,des_pos_x,des_pos_y,des_pos_z,act_pos_x,act_pos_y,act_pos_z,pos_err_x,pos_err_y,pos_err_z,pos_err_norm,des_quat_w,des_quat_x,des_quat_y,des_quat_z,act_quat_w,act_quat_x,act_quat_y,act_quat_z,orient_err_angle
372,1,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993474,-0.053763,-0.100379,0.006645,1.000000,-0.000042,-0.000089,0.000006,0.228418
372,1,THUMB_EE,0.103601,0.073345,-0.007897,0.037981,0.102983,0.009991,0.065620,-0.029638,-0.017888,0.074192,0.810959,-0.503039,-0.121858,0.272886,0.653219,-0.653345,-0.270617,0.270577,0.529138
373,1,INDEX_EE,0.157520,0.004492,0.033624,0.155994,0.020005,0.035012,0.001526,-0.015513,-0.001389,0.015650,0.951802,-0.300912,-0.008436,-0.058797,1.000000,-0.000042,0.000013,0.000006,0.623396
373,1,MIDDLE_EE,0.160073,-0.038639,0.043960,0.164370,-0.039924,0.035015,-0.004297,0.001286,0.008945,0.010007,0.982995,-0.008910,-0.017083,-0.182622,0.991446,-0.000015,0.000018,-0.130520,0.112378
423,1,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993474,-0.053763,-0.100379,0.006645,1.000000,-0.000162,-0.000301,0.000019,0.227930
423,1,THUMB_EE,0.103601,0.073345,-0.007897,0.037977,0.102984,0.009963,0.065624,-0.029639,-0.017860,0.074189,0.810959,-0.503039,-0.121858,0.272886,0.653052,-0.653515,-0.270641,0.270546,0.529563
423,1,INDEX_EE,0.157520,0.004492,0.033624,0.155978,0.020017,0.035034,0.001542,-0.015526,-0.001411,0.015666,0.951802,-0.300912,-0.008436,-0.058797,1.000000,-0.000162,0.000099,0.000019,0.623169
423,1,MIDDLE_EE,0.160073,-0.038639,0.043960,0.164357,-0.039912,0.035043,-0.004284,0.001273,0.008917,0.009974,0.982995,-0.008910,-0.017083,-0.182622,0.991447,-0.000064,0.000119,-0.130508,0.112448
453,1,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993474,-0.053763,-0.100379,0.006645,1.000000,-0.000359,-0.000606,0.000036,0.227206
453,1,THUMB_EE,0.103601,0.073345,-0.007897,0.037971,0.102984,0.009913,0.065630,-0.029639,-0.017810,0.074182,0.810959,-0.503039,-0.121858,0.272886,0.652791,-0.653782,-0.270649,0.270522,0.530196
453,1,INDEX_EE,0.157520,0.004492,0.033624,0.155956,0.020037,0.035056,0.001564,-0.015545,-0.001433,0.015689,0.951802,-0.300912,-0.008436,-0.058797,1.000000,-0.000359,0.000286,0.000036,0.622800
453,1,MIDDLE_EE,0.160073,-0.038639,0.043960,0.164337,-0.039892,0.035075,-0.004264,0.001253,0.008886,0.009935,0.982995,-0.008910,-0.017083,-0.182622,0.991450,-0.000149,0.000331,-0.130490,0.112585
